tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Thomas, Justin",14139,1,1,Waialae CC,6,70,10,8:00am,59,4.002,0.651,3.15,1.444,5.247,9.25,306.5,0.571,0.778,0.8,28.089,18.502,10,0,2,8,7,1,0
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Thomas, Justin",14139,1,2,Waialae CC,6,70,1,12:40pm,64,0.828,0.189,1.626,1.723,3.54,4.368,311.4,0.5,0.778,0.5,26.608,25.163,7,3,1,7,7,3,0
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Thomas, Justin",14139,1,3,Waialae CC,6,70,1,1:00pm,65,1.324,-0.097,0.473,1.604,1.981,3.305,317.4,0.5,0.778,1.0,49.394,23.732,6,2,0,5,13,0,0
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Thomas, Justin",14139,1,4,Waialae CC,6,70,1,12:40pm,65,1.387,0.475,0.893,0.558,1.928,3.315,303.0,0.214,0.778,0.8,47.151,25.242,6,2,0,6,11,1,0
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Rose, Justin",6093,2,1,Waialae CC,6,70,1,12:30pm,66,-1.373,1.821,-0.142,1.943,3.623,2.25,301.7,0.714,0.778,1.0,33.725,25.512,5,3,0,6,10,2,0
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Rose, Justin",6093,2,2,Waialae CC,6,70,10,7:50am,64,2.187,0.456,0.908,0.815,2.181,4.368,302.5,0.357,0.778,0.833,34.111,17.21,5,3,0,7,10,1,0
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Rose, Justin",6093,2,3,Waialae CC,6,70,1,12:50pm,66,1.977,-0.823,-0.427,1.578,0.328,2.305,307.4,0.643,0.889,0.4,37.501,25.527,5,0,0,5,12,1,0
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Rose, Justin",6093,2,4,Waialae CC,6,70,1,12:40pm,64,0.298,1.38,1.819,0.816,4.017,4.315,302.8,0.286,0.778,0.8,56.911,21.378,4,1,0,7,10,1,0
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Spieth, Jordan",14636,3,1,Waialae CC,6,70,10,8:00am,65,-1.503,-0.593,5.562,-0.216,4.753,3.25,288.7,0.571,0.944,0.5,33.359,12.856,5,1,0,6,11,1,0
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Spieth, Jordan",14636,3,2,Waialae CC,6,70,1,12:40pm,67,-1.404,-0.169,1.957,0.984,2.773,1.368,296.5,0.571,0.778,0.5,62.889,16.782,4,3,0,5,11,2,0
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Spieth, Jordan",14636,3,3,Waialae CC,6,70,1,12:00pm,66,-0.209,0.143,1.21,1.16,2.515,2.305,309.3,0.571,0.889,0.75,35.913,25.152,3,1,0,5,12,1,0
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Spieth, Jordan",14636,3,4,Waialae CC,6,70,1,12:20pm,63,3.377,-0.598,1.616,0.919,1.938,5.315,297.2,0.571,0.833,0.833,47.593,20.748,5,2,0,8,9,1,0
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Kisner, Kevin",11328,T4,1,Waialae CC,6,70,1,7:50am,70,-3.601,-0.329,1.498,0.681,1.851,-1.75,293.9,0.714,0.944,0.333,20.524,23.845,0,3,0,2,14,2,0
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Kisner, Kevin",11328,T4,2,Waialae CC,6,70,10,12:30pm,67,0.474,1.17,-0.811,0.534,0.894,1.368,297.8,0.571,0.5,0.7,117.518,24.796,6,3,1,6,6,5,0
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Kisner, Kevin",11328,T4,3,Waialae CC,6,70,10,12:40pm,60,2.534,3.328,1.699,0.742,5.771,8.305,295.4,0.643,0.722,1.0,19.076,21.09,7,0,0,10,8,0,0
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Kisner, Kevin",11328,T4,4,Waialae CC,6,70,1,12:20pm,65,1.893,1.37,-0.604,0.655,1.422,3.315,294.7,0.5,0.722,1.0,66.288,30.376,4,2,0,5,13,0,0
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Lovemark, Jamie",11382,T4,1,Waialae CC,6,70,10,11:50am,64,3.939,0.092,1.363,-1.146,0.31,4.25,288.2,0.214,0.833,0.833,39.826,20.884,5,2,0,6,12,0,0
pga,2017,2017,2017-01-15,Sony Open in Hawaii,6,"Lovemark, Jamie",11382,T4,2,Waialae CC,6,70,1,7:10am,68,0.989,-0.932,-0.542,0.853,-0.621,0.368,297.5,0.429,0.778,0.571,60.204,26.424,2,2,0,3,14,1,0
