tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Kim, Si Woo",14609,1,1,Waialae Country Club,6,70,1,7:40am,67,0.577,0.452,1.099,0.338,1.887,2.465,290.2,0.571,0.833,1.0,58.969,28.198,3,3,0,5,11,2,0
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Kim, Si Woo",14609,1,2,Waialae Country Club,6,70,10,12:20pm,67,1.057,0.822,0.883,-0.564,1.141,2.194,304.7,0.571,0.833,0.833,26.016,28.056,4,2,1,4,11,1,1
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Kim, Si Woo",14609,1,3,Waialae Country Club,6,70,1,9:00am,64,-0.276,0.735,2.455,0.809,4.0,3.724,294.3,0.714,0.833,0.8,36.403,16.605,2,3,0,7,10,1,0
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Kim, Si Woo",14609,1,4,Waialae Country Club,6,70,1,9:50am,64,-0.451,0.347,3.811,0.558,4.712,4.25,296.8,0.643,0.833,0.667,30.076,21.042,5,4,0,8,8,2,0
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Buckley, Hayden",25363,2,1,Waialae Country Club,6,70,1,12:00pm,67,0.611,-0.151,1.127,0.879,1.853,2.465,304.5,0.571,0.889,0.667,76.443,20.77,3,1,0,4,13,1,0
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Buckley, Hayden",25363,2,2,Waialae Country Club,6,70,10,7:20am,64,4.738,-0.778,0.319,0.919,0.46,5.194,293.9,0.714,0.778,0.714,42.477,29.876,7,2,0,7,10,1,0
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Buckley, Hayden",25363,2,3,Waialae Country Club,6,70,1,9:50am,64,-0.303,0.099,2.655,1.272,4.027,3.724,295.0,0.786,0.833,0.667,33.438,26.726,5,3,2,3,12,1,0
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Buckley, Hayden",25363,2,4,Waialae Country Club,6,70,1,10:00am,68,-0.606,0.73,-0.485,0.626,0.867,0.25,296.5,0.643,0.778,0.333,43.057,29.764,5,5,0,4,12,2,0
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Kirk, Chris",12423,3,1,Waialae Country Club,6,70,10,7:30am,64,3.897,0.216,1.225,0.128,1.567,5.465,288.2,0.643,0.889,1.0,33.761,24.182,6,1,0,7,10,1,0
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Kirk, Chris",12423,3,2,Waialae Country Club,6,70,1,12:10pm,65,1.036,-0.046,2.916,0.292,3.162,4.194,286.6,0.571,0.889,1.0,83.152,24.896,4,2,0,6,11,1,0
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Kirk, Chris",12423,3,3,Waialae Country Club,6,70,1,10:00am,68,-0.777,2.002,0.14,-1.642,0.501,-0.276,288.9,0.5,0.722,0.75,92.537,20.262,2,3,0,5,11,1,1
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Kirk, Chris",12423,3,4,Waialae Country Club,6,70,1,9:50am,68,-1.366,-0.216,1.239,0.608,1.627,0.25,301.3,0.429,0.722,0.5,35.675,24.814,4,3,0,5,10,3,0
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Putnam, Andrew",14704,T4,1,Waialae Country Club,6,70,1,7:30am,70,1.036,0.181,-1.299,-0.452,-1.572,-0.535,279.3,0.571,0.556,0.625,83.64,34.498,3,3,0,3,12,3,0
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Putnam, Andrew",14704,T4,2,Waialae Country Club,6,70,10,12:10pm,66,4.541,1.555,-1.67,-1.228,-1.343,3.194,283.6,0.5,0.667,1.0,62.005,37.993,3,2,0,4,14,0,0
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Putnam, Andrew",14704,T4,3,Waialae Country Club,6,70,10,8:00am,62,4.625,1.174,-0.34,0.264,1.099,5.724,288.3,0.5,0.778,0.667,60.212,29.46,5,3,0,10,6,2,0
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Putnam, Andrew",14704,T4,4,Waialae Country Club,6,70,1,9:50am,68,0.342,-0.449,1.659,-1.287,-0.081,0.25,282.4,0.5,0.778,0.75,79.743,30.571,2,1,0,4,12,2,0
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Lipsky, David",15980,T4,1,Waialae Country Club,6,70,10,12:40pm,65,2.422,1.315,1.337,-0.608,2.042,4.465,288.2,0.429,0.778,0.75,78.85,25.081,2,2,0,7,9,2,0
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Lipsky, David",15980,T4,2,Waialae Country Club,6,70,1,8:00am,66,-0.294,-0.019,3.109,0.402,3.492,3.194,285.9,0.571,0.889,1.0,70.599,24.716,5,0,0,4,14,0,0
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Lipsky, David",15980,T4,3,Waialae Country Club,6,70,1,9:50am,66,0.658,-1.014,3.055,-0.976,1.066,1.724,294.8,0.786,0.833,0.333,1.549,20.175,5,4,0,7,8,3,0
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Lipsky, David",15980,T4,4,Waialae Country Club,6,70,1,10:00am,69,-0.318,-0.069,-1.766,0.831,-0.853,-0.75,296.0,0.786,0.444,0.818,36.721,33.612,3,4,0,4,12,1,1
pga,2023,2023,2023-01-15,Sony Open in Hawaii,6,"Taylor, Ben",19948,T4,1,Waialae Country Club,6,70,1,1:00pm,66,2.582,-0.221,2.279,-1.174,0.882,3.465,288.1,0.429,0.833,1.0,56.849,23.273,8,1,0,5,12,1,0
