tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
pga,2018,2018,2018-01-14,Sony Open in Hawaii,6,"Kizzire, Patton",13470,1,1,Waialae CC,6,70,1,12:30pm,67,1.931,0.053,0.483,-0.26,0.277,2.208,293.4,0.571,0.778,0.6,54.818,24.611,3,3,0,5,11,2,0
pga,2018,2018,2018-01-14,Sony Open in Hawaii,6,"Kizzire, Patton",13470,1,2,Waialae CC,6,70,10,7:50am,64,3.508,0.811,1.164,-0.26,1.715,5.224,287.9,0.429,0.722,0.714,44.797,22.301,4,1,0,8,8,2,0
pga,2018,2018,2018-01-14,Sony Open in Hawaii,6,"Kizzire, Patton",13470,1,3,Waialae CC,6,70,1,12:45pm,64,2.121,0.208,3.05,-0.971,2.287,4.408,294.2,0.714,0.833,1.0,44.925,20.282,3,1,0,8,9,0,1
pga,2018,2018,2018-01-14,Sony Open in Hawaii,6,"Kizzire, Patton",13470,1,4,Waialae CC,6,70,1,11:20am,68,-0.716,-0.76,2.159,-0.511,0.888,0.171,292.5,0.357,0.611,0.667,46.649,19.192,4,2,1,1,15,1,0
pga,2018,2018,2018-01-14,Sony Open in Hawaii,6,"Hahn, James",11374,2,1,Waialae CC,6,70,10,7:40am,67,0.983,1.142,0.022,0.059,1.225,2.208,293.0,0.357,0.611,0.778,43.28,39.079,3,2,0,4,13,1,0
pga,2018,2018,2018-01-14,Sony Open in Hawaii,6,"Hahn, James",11374,2,2,Waialae CC,6,70,1,12:20pm,69,0.587,-0.715,-0.166,0.518,-0.364,0.224,286.0,0.571,0.722,0.625,39.289,32.182,2,2,0,4,12,1,1
pga,2018,2018,2018-01-14,Sony Open in Hawaii,6,"Hahn, James",11374,2,3,Waialae CC,6,70,10,11:15am,65,0.699,-0.254,2.509,0.454,2.709,3.408,292.9,0.786,0.889,1.0,37.916,22.21,4,2,0,5,13,0,0
pga,2018,2018,2018-01-14,Sony Open in Hawaii,6,"Hahn, James",11374,2,4,Waialae CC,6,70,1,10:30am,62,1.298,0.105,3.956,0.81,4.873,6.171,287.9,0.786,0.944,0.333,52.107,19.2,7,1,0,9,8,1,0
pga,2018,2018,2018-01-14,Sony Open in Hawaii,6,"Hoge, Tom",15575,3,1,Waialae CC,6,70,1,1:10pm,65,0.513,0.906,1.079,1.708,3.695,4.208,298.2,0.714,0.889,0.5,43.763,23.616,4,2,0,6,11,1,0
pga,2018,2018,2018-01-14,Sony Open in Hawaii,6,"Hoge, Tom",15575,3,2,Waialae CC,6,70,10,8:30am,65,0.168,0.128,3.601,0.325,4.055,4.224,284.5,0.571,0.722,0.833,39.661,18.844,5,3,0,7,9,2,0
