tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Kuchar, Matt",6169,1,1,Waialae Country Club,6,70,1,12:40pm,63,1.889,0.9,2.349,1.5,4.75,6.639,295.3,0.857,0.833,1.0,57.411,23.215,6,0,0,7,11,0,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Kuchar, Matt",6169,1,2,Waialae Country Club,6,70,10,8:00am,63,4.852,0.457,0.268,0.325,1.051,5.903,289.0,0.571,0.722,0.833,96.175,31.854,4,0,1,6,10,1,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Kuchar, Matt",6169,1,3,Waialae Country Club,6,70,1,1:00pm,66,-0.288,0.426,1.485,0.698,2.609,2.321,293.2,0.714,0.889,1.0,46.839,23.946,2,1,0,4,14,0,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Kuchar, Matt",6169,1,4,Waialae Country Club,6,70,1,12:20pm,66,0.585,-0.434,1.4,0.632,1.598,2.183,293.7,0.714,0.889,0.5,38.556,26.279,2,2,0,7,8,3,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Putnam, Andrew",14704,2,1,Waialae Country Club,6,70,1,7:50am,62,6.871,0.533,0.154,0.08,0.768,7.639,284.4,0.643,0.722,0.857,53.777,35.615,7,1,0,9,8,1,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Putnam, Andrew",14704,2,2,Waialae Country Club,6,70,10,12:30pm,65,2.025,1.445,0.408,0.024,1.878,3.903,282.1,0.5,0.833,1.0,53.911,32.389,3,1,0,5,13,0,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Putnam, Andrew",14704,2,3,Waialae Country Club,6,70,1,1:00pm,67,1.812,-0.479,0.772,-0.784,-0.491,1.321,276.6,0.5,0.722,0.571,51.529,30.479,4,2,0,5,11,2,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Putnam, Andrew",14704,2,4,Waialae Country Club,6,70,1,12:20pm,68,0.186,1.3,-0.723,-0.58,-0.003,0.183,281.2,0.643,0.722,0.857,40.083,32.377,3,0,0,3,14,1,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Swafford, Hudson",14706,T3,1,Waialae Country Club,6,70,1,12:10pm,65,0.986,-0.166,2.836,0.982,3.653,4.639,288.5,0.786,0.833,0.6,54.401,17.696,7,3,0,7,9,2,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Swafford, Hudson",14706,T3,2,Waialae Country Club,6,70,10,7:30am,67,-2.142,1.026,2.194,0.824,4.045,1.903,290.7,0.5,0.833,0.75,51.621,18.593,6,2,0,4,13,1,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Swafford, Hudson",14706,T3,3,Waialae Country Club,6,70,1,12:40pm,67,1.27,-0.566,0.575,0.042,0.051,1.321,279.5,0.643,0.667,0.75,39.032,26.406,4,3,0,4,13,1,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Swafford, Hudson",14706,T3,4,Waialae Country Club,6,70,1,11:50am,64,1.958,1.516,0.413,0.296,2.225,4.183,286.9,0.714,0.667,1.0,29.46,26.727,4,1,0,6,12,0,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Conners, Corey",17576,T3,1,Waialae Country Club,6,70,10,1:10pm,68,-0.916,-0.506,2.458,0.602,2.555,1.639,297.3,0.643,0.778,0.4,40.657,22.017,5,1,0,4,12,2,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Conners, Corey",17576,T3,2,Waialae Country Club,6,70,1,8:30am,67,0.431,0.023,0.185,1.263,1.472,1.903,301.4,0.643,0.722,0.714,54.376,26.759,2,4,0,5,11,2,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Conners, Corey",17576,T3,3,Waialae Country Club,6,70,1,11:30am,64,2.616,0.064,2.182,-0.541,1.705,4.321,302.8,0.5,0.833,1.0,28.236,20.692,6,2,0,8,8,2,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Conners, Corey",17576,T3,4,Waialae Country Club,6,70,1,12:10pm,64,0.119,0.72,2.241,1.103,4.064,4.183,299.9,0.714,0.889,1.0,33.003,26.627,4,2,0,7,10,1,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Leishman, Marc",7649,T3,1,Waialae Country Club,6,70,1,12:30pm,67,2.234,1.424,-2.091,1.071,0.405,2.639,294.8,0.643,0.611,0.8,34.853,36.152,4,3,0,4,13,1,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Leishman, Marc",7649,T3,2,Waialae Country Club,6,70,10,7:50am,64,3.147,-0.132,2.073,-0.186,1.756,4.903,300.6,0.429,0.722,0.4,29.914,25.267,10,4,1,6,9,2,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Leishman, Marc",7649,T3,3,Waialae Country Club,6,70,1,12:50pm,68,-2.139,0.848,1.135,0.477,2.46,0.321,294.5,0.5,0.722,0.571,23.155,27.23,3,3,0,5,10,3,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Leishman, Marc",7649,T3,4,Waialae Country Club,6,70,1,11:40am,64,1.24,-0.01,2.138,0.815,2.943,4.183,301.1,0.643,0.833,1.0,46.422,20.838,5,1,0,6,12,0,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Reavie, Chez",7961,T3,1,Waialae Country Club,6,70,1,12:00pm,65,1.15,1.258,1.094,1.136,3.489,4.639,293.1,0.714,0.722,0.714,34.265,31.882,5,1,0,7,9,2,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Reavie, Chez",7961,T3,2,Waialae Country Club,6,70,10,7:20am,65,-1.744,0.3,5.366,-0.02,5.647,3.903,285.8,0.571,0.833,0.5,55.013,25.652,4,4,3,2,11,1,1
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Reavie, Chez",7961,T3,3,Waialae Country Club,6,70,1,1:00pm,66,-1.842,0.959,1.78,1.424,4.163,2.321,290.6,0.786,0.722,0.714,23.54,27.136,6,2,0,7,8,3,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Reavie, Chez",7961,T3,4,Waialae Country Club,6,70,1,12:10pm,67,1.491,0.132,-0.032,-0.408,-0.308,1.183,291.4,0.571,0.833,0.667,48.057,30.155,4,1,0,4,13,1,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Love III, Davis",3464,7,1,Waialae Country Club,6,70,10,12:10pm,67,-0.349,0.88,1.76,0.347,2.988,2.639,283.7,0.643,0.778,0.75,41.37,26.902,3,2,1,3,12,2,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Love III, Davis",3464,7,2,Waialae Country Club,6,70,1,7:30am,68,1.86,-0.107,0.478,-1.329,-0.957,0.903,278.6,0.429,0.667,0.857,96.327,28.715,2,1,0,4,12,2,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Love III, Davis",3464,7,3,Waialae Country Club,6,70,1,11:50am,64,2.649,1.201,1.164,-0.693,1.672,4.321,283.8,0.357,0.667,0.857,47.272,23.869,5,3,0,7,10,1,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Love III, Davis",3464,7,4,Waialae Country Club,6,70,1,12:00pm,65,-0.18,-0.055,2.064,1.354,3.363,3.183,291.8,0.929,0.778,0.75,22.682,21.222,3,1,0,6,11,1,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Stuard, Brian",13022,T8,1,Waialae Country Club,6,70,1,12:00pm,66,1.372,0.552,0.96,0.754,2.267,3.639,284.9,0.714,0.778,1.0,61.959,28.488,5,2,0,5,12,1,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Stuard, Brian",13022,T8,2,Waialae Country Club,6,70,10,7:20am,69,0.542,0.656,-2.137,0.841,-0.639,-0.097,284.2,0.857,0.667,0.625,37.977,38.295,1,1,0,3,13,2,0
pga,2019,2019,2019-01-13,Sony Open in Hawaii,6,"Stuard, Brian",13022,T8,3,Waialae Country Club,6,70,1,12:00pm,64,3.868,0.496,0.157,-0.2,0.453,4.321,283.0,0.643,0.722,1.0,97.836,27.817,6,1,0,6,12,0,0
