tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
pga,2024,2024,2024-01-14,Sony Open in Hawaii,6,"Murray, Grayson",14655,1,1,Waialae Country Club,6,70,1,8:30am,69,-0.074,0.167,-1.22,2.099,1.047,0.972,291.8,0.786,0.611,0.75,18.777,40.745,3,4,0,4,11,3,0
pga,2024,2024,2024-01-14,Sony Open in Hawaii,6,"Murray, Grayson",14655,1,2,Waialae Country Club,6,70,10,1:10pm,63,2.274,-1.063,3.282,0.862,3.08,5.354,294.1,0.571,0.889,0.667,38.223,21.948,7,1,0,8,9,1,0
pga,2024,2024,2024-01-14,Sony Open in Hawaii,6,"Murray, Grayson",14655,1,3,Waialae Country Club,6,70,1,11:50am,64,1.262,0.968,0.395,1.9,3.263,4.524,302.2,0.857,0.889,1.0,54.155,27.526,7,1,1,4,13,0,0
pga,2024,2024,2024-01-14,Sony Open in Hawaii,6,"Murray, Grayson",14655,1,4,Waialae Country Club,6,70,1,9:50am,67,-0.703,1.945,-0.591,0.25,1.604,0.901,295.7,0.5,0.778,1.0,43.894,29.852,2,0,0,3,15,0,0
pga,2024,2024,2024-01-14,Sony Open in Hawaii,6,"An, Byeong Hun",14459,T2,1,Waialae Country Club,6,70,10,7:30am,67,0.512,0.918,0.078,1.465,2.461,2.972,306.3,0.571,0.778,0.6,48.14,24.391,4,1,0,4,13,1,0
pga,2024,2024,2024-01-14,Sony Open in Hawaii,6,"An, Byeong Hun",14459,T2,2,Waialae Country Club,6,70,1,12:10pm,64,1.902,1.941,-0.173,0.685,2.452,4.354,297.6,0.571,0.667,1.0,65.514,24.187,6,0,0,6,12,0,0
pga,2024,2024,2024-01-14,Sony Open in Hawaii,6,"An, Byeong Hun",14459,T2,3,Waialae Country Club,6,70,1,12:20pm,68,0.197,-1.753,0.633,1.448,0.328,0.524,311.8,0.571,0.722,0.5,56.714,20.309,3,5,0,6,8,4,0
pga,2024,2024,2024-01-14,Sony Open in Hawaii,6,"An, Byeong Hun",14459,T2,4,Waialae Country Club,6,70,1,9:30am,64,0.813,1.018,0.035,2.036,3.088,3.901,311.5,0.714,0.667,0.714,44.096,23.63,6,3,1,6,9,2,0
pga,2024,2024,2024-01-14,Sony Open in Hawaii,6,"Bradley, Keegan",13872,T2,1,Waialae Country Club,6,70,1,12:30pm,67,2.125,0.025,1.508,-0.685,0.847,2.972,288.8,0.643,0.556,0.8,31.997,39.394,5,4,0,6,9,3,0
pga,2024,2024,2024-01-14,Sony Open in Hawaii,6,"Bradley, Keegan",13872,T2,2,Waialae Country Club,6,70,10,7:50am,66,-0.312,2.107,0.025,0.534,2.666,2.354,288.1,0.714,0.778,1.0,95.571,26.835,2,0,0,4,14,0,0
pga,2024,2024,2024-01-14,Sony Open in Hawaii,6,"Bradley, Keegan",13872,T2,3,Waialae Country Club,6,70,1,11:40am,63,2.181,-0.058,2.475,0.927,3.344,5.524,296.1,0.643,0.889,0.667,37.347,24.917,6,1,0,8,9,1,0
pga,2024,2024,2024-01-14,Sony Open in Hawaii,6,"Bradley, Keegan",13872,T2,4,Waialae Country Club,6,70,1,9:50am,67,0.596,0.078,-0.622,0.849,0.305,0.901,302.9,0.5,0.722,0.667,41.412,24.198,4,2,1,2,14,1,0
pga,2024,2024,2024-01-14,Sony Open in Hawaii,6,"Henley, Russell",14578,T4,1,Waialae Country Club,6,70,1,8:20am,69,0.423,1.092,-0.818,0.276,0.55,0.972,285.6,0.571,0.611,0.7,67.5,33.319,4,4,0,3,13,2,0
