tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
pga,2021,2021,2021-01-17,Sony Open in Hawaii,6,"Na, Kevin",7452,1,1,Waialae Country Club,6,70,10,8:20am,67,-0.652,1.303,0.753,-0.085,1.971,1.319,292.1,0.5,0.667,0.833,84.157,24.028,3,3,0,4,13,1,0
pga,2021,2021,2021-01-17,Sony Open in Hawaii,6,"Na, Kevin",7452,1,2,Waialae Country Club,6,70,1,1:00pm,66,1.298,-0.309,1.378,0.188,1.258,2.556,297.1,0.571,0.778,0.571,55.099,25.112,5,1,0,7,8,3,0
pga,2021,2021,2021-01-17,Sony Open in Hawaii,6,"Na, Kevin",7452,1,3,Waialae Country Club,6,70,1,11:10am,61,0.821,1.69,2.652,0.494,4.837,5.658,292.4,0.5,0.833,1.0,22.059,16.85,7,2,1,7,10,0,0
pga,2021,2021,2021-01-17,Sony Open in Hawaii,6,"Na, Kevin",7452,1,4,Waialae Country Club,6,70,1,10:20am,65,1.803,-0.044,0.937,-0.23,0.663,2.466,288.8,0.643,0.778,1.0,43.844,20.889,5,3,0,6,11,1,0
pga,2021,2021,2021-01-17,Sony Open in Hawaii,6,"Niemann, Joaquin",18079,T2,1,Waialae Country Club,6,70,1,12:40pm,62,0.983,1.094,1.373,2.869,5.336,6.319,321.0,0.714,0.833,1.0,33.875,22.142,7,2,1,7,9,1,0
pga,2021,2021,2021-01-17,Sony Open in Hawaii,6,"Niemann, Joaquin",18079,T2,2,Waialae Country Club,6,70,10,8:00am,69,-1.681,-0.594,1.042,0.788,1.237,-0.444,310.3,0.643,0.889,0.333,45.022,25.794,4,3,0,2,15,1,0
pga,2021,2021,2021-01-17,Sony Open in Hawaii,6,"Niemann, Joaquin",18079,T2,3,Waialae Country Club,6,70,1,12:20pm,63,2.028,0.306,0.791,0.532,1.63,3.658,296.7,0.643,0.778,0.8,43.41,19.966,5,3,1,5,12,0,0
pga,2021,2021,2021-01-17,Sony Open in Hawaii,6,"Niemann, Joaquin",18079,T2,4,Waialae Country Club,6,70,1,10:20am,66,1.1,-0.018,0.898,-0.514,0.366,1.466,306.2,0.357,0.722,0.857,27.433,28.987,4,2,0,5,12,1,0
pga,2021,2021,2021-01-17,Sony Open in Hawaii,6,"Kirk, Chris",12423,T2,1,Waialae Country Club,6,70,1,8:40am,65,1.956,0.284,1.231,-0.152,1.363,3.319,303.6,0.714,0.778,0.8,8.455,28.636,3,2,1,6,10,0,1
pga,2021,2021,2021-01-17,Sony Open in Hawaii,6,"Kirk, Chris",12423,T2,2,Waialae Country Club,6,70,10,1:20pm,65,0.709,1.015,2.323,-0.492,2.847,3.556,292.5,0.357,0.833,0.75,42.274,28.609,4,4,1,4,12,1,0
pga,2021,2021,2021-01-17,Sony Open in Hawaii,6,"Kirk, Chris",12423,T2,3,Waialae Country Club,6,70,1,12:40pm,65,1.763,0.385,-0.773,0.282,-0.105,1.658,292.1,0.571,0.667,0.75,36.059,22.624,2,3,0,7,9,2,0
