tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Matsuyama, Hideki",13562,1,1,Waialae Country Club,6,70,10,8:10am,66,2.433,-0.169,-0.543,0.3,-0.412,2.021,283.8,0.786,0.722,0.833,143.221,24.396,4,1,0,5,12,1,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Matsuyama, Hideki",13562,1,2,Waialae Country Club,6,70,1,12:50pm,65,0.202,1.628,0.72,0.681,3.029,3.231,294.3,0.571,0.667,0.667,44.143,23.421,7,1,0,7,9,2,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Matsuyama, Hideki",13562,1,3,Waialae Country Club,6,70,1,12:30pm,63,3.83,0.139,0.168,1.34,1.647,5.477,287.1,0.786,0.722,1.0,90.392,23.941,7,2,0,7,11,0,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Matsuyama, Hideki",13562,1,4,Waialae Country Club,6,70,1,1:15pm,63,0.808,-0.422,2.261,1.308,3.146,3.954,295.8,0.714,0.833,1.0,23.637,20.895,4,2,0,7,11,0,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Henley, Russell",14578,2,1,Waialae Country Club,6,70,1,1:00pm,62,2.268,-0.203,2.116,1.84,3.753,6.021,297.0,0.857,0.944,0.667,,24.252,4,1,0,8,10,0,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Henley, Russell",14578,2,2,Waialae Country Club,6,70,10,8:20am,63,2.374,0.937,1.692,0.228,2.857,5.231,289.9,0.643,0.722,0.667,50.773,16.365,4,1,2,5,9,2,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Henley, Russell",14578,2,3,Waialae Country Club,6,70,1,1:40pm,67,1.319,-0.533,0.236,0.455,0.158,1.477,282.2,0.714,0.778,0.6,67.17,25.285,3,2,0,5,11,2,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Henley, Russell",14578,2,4,Waialae Country Club,6,70,1,1:15pm,65,-0.066,-0.783,2.603,0.201,2.02,1.954,284.6,0.786,0.778,0.75,45.527,16.041,3,0,1,4,12,1,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Power, Seamus",10104,T3,1,Waialae Country Club,6,70,10,12:20pm,63,1.841,0.593,2.698,-0.111,3.18,5.021,295.7,0.429,0.889,0.75,35.828,22.657,6,2,0,7,11,0,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Power, Seamus",10104,T3,2,Waialae Country Club,6,70,1,7:40am,68,0.335,0.96,-1.596,0.532,-0.104,0.231,297.5,0.714,0.778,0.75,149.511,28.793,1,4,0,4,12,2,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Power, Seamus",10104,T3,3,Waialae Country Club,6,70,1,1:20pm,65,0.25,0.131,1.488,1.608,3.227,3.477,287.3,0.857,0.889,0.667,99.638,23.408,5,1,0,5,13,0,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Power, Seamus",10104,T3,4,Waialae Country Club,6,70,1,1:05pm,65,2.767,0.487,-2.734,1.435,-0.813,1.954,302.1,0.857,0.556,0.778,25.33,31.805,5,5,0,6,11,1,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Kisner, Kevin",11328,T3,1,Waialae Country Club,6,70,10,8:10am,68,-0.221,0.73,-0.493,0.005,0.242,0.021,286.6,0.643,0.667,0.833,79.927,27.486,2,4,0,3,14,1,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Kisner, Kevin",11328,T3,2,Waialae Country Club,6,70,1,12:50pm,64,2.353,0.385,1.464,0.029,1.878,4.231,278.5,0.571,0.778,0.8,59.523,26.281,5,0,0,7,10,1,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Kisner, Kevin",11328,T3,3,Waialae Country Club,6,70,1,11:45am,65,3.434,0.303,-1.049,0.789,0.043,3.477,281.5,0.857,0.778,0.5,49.988,34.935,4,3,0,7,9,2,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Kisner, Kevin",11328,T3,4,Waialae Country Club,6,70,1,12:45pm,64,-1.533,0.228,3.239,1.021,4.487,2.954,287.3,0.857,0.944,0.667,72.092,21.97,5,3,0,6,12,0,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Thompson, Michael",12946,T5,1,Waialae Country Club,6,70,1,8:20am,63,2.964,1.364,1.211,-0.518,2.057,5.021,283.8,0.643,0.778,1.0,71.233,31.247,5,2,0,8,9,1,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Thompson, Michael",12946,T5,2,Waialae Country Club,6,70,10,1:00pm,67,-0.563,0.455,2.425,-1.086,1.794,1.231,279.9,0.571,0.778,1.0,28.742,24.938,2,1,0,3,15,0,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Thompson, Michael",12946,T5,3,Waialae Country Club,6,70,1,1:30pm,69,-1.512,1.061,-0.015,-0.057,0.989,-0.523,281.1,0.571,0.611,0.833,137.729,19.941,3,3,0,2,15,1,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Thompson, Michael",12946,T5,4,Waialae Country Club,6,70,1,11:55am,63,1.593,-0.028,2.902,-0.512,2.361,3.954,277.7,0.429,0.778,0.667,56.19,15.558,6,0,0,8,9,1,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Glover, Lucas",7399,T5,1,Waialae Country Club,6,70,1,12:20pm,67,-0.161,-0.321,0.972,0.531,1.182,1.021,297.6,0.643,0.889,1.0,60.478,24.698,2,2,0,4,13,1,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Glover, Lucas",7399,T5,2,Waialae Country Club,6,70,10,7:40am,66,-0.744,0.303,3.756,-1.084,2.975,2.231,283.6,0.571,0.778,1.0,43.227,19.605,4,2,0,4,14,0,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Glover, Lucas",7399,T5,3,Waialae Country Club,6,70,1,11:35am,64,0.718,0.0,3.124,0.94,3.759,4.477,288.3,0.714,0.944,,85.661,18.388,3,1,1,6,9,2,0
pga,2022,2022,2022-01-16,Sony Open in Hawaii,6,"Glover, Lucas",7399,T5,4,Waialae Country Club,6,70,1,12:45pm,65,0.437,-0.477,1.696,0.299,1.517,1.954,286.8,0.714,0.889,0.5,43.35,20.315,4,0,1,3,14,0,0
