tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
pga,2025,2025,2025-01-12,Sony Open in Hawaii,6,"Taylor, Nick",13126,1,1,Waialae Country Club,6,70,1,12:40pm,66,2.246,-0.116,0.782,0.052,0.718,2.965,288.1,0.571,0.833,0.5,45.677,26.948,3,1,0,5,12,1,0
pga,2025,2025,2025-01-12,Sony Open in Hawaii,6,"Taylor, Nick",13126,1,2,Waialae Country Club,6,70,10,8:00am,68,0.212,0.32,1.084,-0.893,0.511,0.723,281.9,0.429,0.722,0.714,44.339,34.531,3,2,0,4,12,2,0
pga,2025,2025,2025-01-12,Sony Open in Hawaii,6,"Taylor, Nick",13126,1,3,Waialae Country Club,6,70,1,8:50am,65,0.107,0.335,2.106,1.241,3.682,3.789,291.7,0.786,0.833,1.0,8.011,31.502,4,1,0,5,13,0,0
pga,2025,2025,2025-01-12,Sony Open in Hawaii,6,"Taylor, Nick",13126,1,4,Waialae Country Club,6,70,1,9:30am,65,-0.091,0.953,1.889,0.473,3.315,3.224,287.8,0.714,0.889,0.5,42.098,28.307,5,4,1,5,10,2,0
pga,2025,2025,2025-01-12,Sony Open in Hawaii,6,"Echavarria, Nico",22833,2,1,Waialae Country Club,6,70,10,8:10am,66,1.011,-0.052,1.342,0.663,1.953,2.965,299.6,0.5,0.778,0.8,31.701,28.137,5,3,0,5,12,1,0
pga,2025,2025,2025-01-12,Sony Open in Hawaii,6,"Echavarria, Nico",22833,2,2,Waialae Country Club,6,70,1,12:50pm,67,-0.184,0.48,0.879,0.548,1.907,1.723,297.1,0.571,0.833,1.0,112.689,24.429,3,0,0,3,15,0,0
pga,2025,2025,2025-01-12,Sony Open in Hawaii,6,"Echavarria, Nico",22833,2,3,Waialae Country Club,6,70,1,9:10am,66,1.266,1.081,0.978,-0.536,1.523,2.789,291.4,0.429,0.667,1.0,33.045,31.906,2,1,0,4,14,0,0
pga,2025,2025,2025-01-12,Sony Open in Hawaii,6,"Echavarria, Nico",22833,2,4,Waialae Country Club,6,70,1,9:30am,65,1.756,1.744,-0.99,0.714,1.468,3.224,294.6,0.643,0.611,0.8,37.417,34.203,6,3,0,8,7,3,0
pga,2025,2025,2025-01-12,Sony Open in Hawaii,6,"Jaeger, Stephan",16394,T3,1,Waialae Country Club,6,70,1,8:00am,68,0.822,1.032,-0.121,-0.769,0.142,0.965,310.1,0.429,0.722,0.714,44.163,26.384,5,4,0,4,12,2,0
pga,2025,2025,2025-01-12,Sony Open in Hawaii,6,"Jaeger, Stephan",16394,T3,2,Waialae Country Club,6,70,10,12:40pm,68,-0.512,0.227,2.139,-1.131,1.235,0.723,290.6,0.643,0.778,0.8,29.63,23.475,3,5,0,5,10,3,0
pga,2025,2025,2025-01-12,Sony Open in Hawaii,6,"Jaeger, Stephan",16394,T3,3,Waialae Country Club,6,70,10,8:40am,62,3.368,0.628,2.929,-0.136,3.421,6.789,303.8,0.429,0.722,0.857,48.488,18.451,7,1,0,9,8,1,0
pga,2025,2025,2025-01-12,Sony Open in Hawaii,6,"Jaeger, Stephan",16394,T3,4,Waialae Country Club,6,70,1,9:50am,67,2.631,0.367,-0.297,-1.478,-1.408,1.224,308.9,0.5,0.722,0.8,41.408,28.321,6,3,0,4,13,1,0
pga,2025,2025,2025-01-12,Sony Open in Hawaii,6,"Spaun, J.J.",17536,T3,1,Waialae Country Club,6,70,1,8:30am,66,-0.552,-0.348,2.433,1.431,3.516,2.965,301.5,0.643,1.0,0.0,82.282,19.755,2,0,0,4,14,0,0
pga,2025,2025,2025-01-12,Sony Open in Hawaii,6,"Spaun, J.J.",17536,T3,2,Waialae Country Club,6,70,10,1:10pm,66,-1.108,-0.54,3.738,0.633,3.831,2.723,294.9,0.5,0.944,0.5,37.719,16.573,2,3,0,5,12,1,0
pga,2025,2025,2025-01-12,Sony Open in Hawaii,6,"Spaun, J.J.",17536,T3,3,Waialae Country Club,6,70,1,9:30am,65,2.643,0.596,0.998,-0.448,1.146,3.789,290.4,0.429,0.611,0.778,68.972,25.136,4,0,0,7,9,2,0
